NUMBER,TITLE,DURATION,LINK
90,5: File downloading and JSON Parsing,46:59:00,https://www.youtube.com//watch?v=wwARiDjqoIA
91,6: PHP Cookies,39:40:00,https://www.youtube.com//watch?v=6Ac1ih-Gur0
92,7: PHP Sessions,26:12:00,https://www.youtube.com//watch?v=UFbNnc3JeF4
93,8: PHP- Error: MySQL shutdown unexpectedly.,04:23,https://www.youtube.com//watch?v=HyYZuy_pu7c
94,"9:PHP MySQL Connection | Registration, Login and Forgot Password Pages using Insert, Select, update.",01:08:10,https://www.youtube.com//watch?v=sXKIgg4XPGA
95,10: PHP MySQL - Bootstrap navigation bar - Footer - Basic Validations - Reg,01:30:49,https://www.youtube.com//watch?v=JDPnvL7giKg
96,"11: PHP Real time usage of Cookies, Sessions and Logout Mechanism - project",45:20:00,https://www.youtube.com//watch?v=yf7bkPcM83w
97,"12: Admin page,  faculty page, student page and index  page || Real time Project",50:33:00,https://www.youtube.com//watch?v=7RkKJpemjcM
98,"13 Look and Feel Modifications, How to make Register user only once || Real time Project",01:01:02,https://www.youtube.com//watch?v=1sJyzaFN2Cg
99,14 OAuth Credentials Creation - || Step by Step Process ||  Real time Project,12:19,https://www.youtube.com//watch?v=iSMXmVxjAYU
100,15 OAuth Module Example Execution (Separately),04:41,https://www.youtube.com//watch?v=DMOqPmmrrUQ
101,16: Result View of OAuth Module Merged with Existing login Module and Project,12:00,https://www.youtube.com//watch?v=hhx-aZb4474
102,"17: Student, Faculty, Admin Module with redirection after successful login || Real time project",41:37:00,https://www.youtube.com//watch?v=lh8oZAAnkmk
103,18 How to retrieve & display all the details with update option to the faculty || Faculty page.,46:36:00,https://www.youtube.com//watch?v=9V8ukLdLrjc
104,19 Look and Feel Modifications || Real time Project,32:18:00,https://www.youtube.com//watch?v=6fa4l0sbPOU
105,20: Final Project (As per the requirement) with Execution.,14:23,https://www.youtube.com//watch?v=2phc5dBUfjk
